contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
depfu-dev[bot],115,6,16,1,0.062,0.384,0.001,2.203,0.957,0.013,7.188,6.0,4.535,0.306,2.75,4.25,5.0,1.0,0.116,1.25,2.556,2.0,2.138,0.41,3.0,0.067,0.0,0.231,0.849,0.002,0.928,0.001,3.494,0.908,0.062,0.252,0.001,1.091,0.933,0.016,19.167,22.0,9.559,0.228,5.5
cd-red-bot,203,4,8,1,0.125,9.98,0.001,39.039,0.934,0.005,25.375,26.0,2.875,0.051,1.0,2.875,3.0,0.641,0.103,0.25,1.933,2.0,0.286,0.041,0.0,0.0,0.0,0.0,0.146,0.0,19.385,0.005,52.82,0.877,0.01,7.074,0.001,32.86,0.954,0.004,50.75,49.5,33.11,0.302,51.75
atlassian-cla-bot[bot],60,1,24,4,0.167,35.548,17.744,42.277,0.597,41.668,2.5,1.0,4.462,0.503,1.25,1.0,1.0,0.0,0.0,0.0,1.395,1.0,1.027,0.245,0.0,6.848,0.0,23.192,0.632,0.0,42.926,24.026,45.415,0.549,60.104,,,0.0,0.0,,60.0,60.0,0.0,0.0,0.0
flyte-bot,242,7,7,1,0.143,8.71,0.013,21.536,0.813,3.33,34.571,19.0,46.443,0.579,26.5,2.714,2.0,1.704,0.316,2.5,3.667,2.0,4.675,0.514,2.0,10.306,0.008,42.576,0.897,0.141,21.829,11.765,25.472,0.591,34.062,9.842,0.095,20.893,0.816,8.495,34.571,15.0,37.665,0.504,33.5
lukasbanana,163,11,9,5,0.556,13.227,0.39,28.498,0.803,13.799,18.111,5.0,38.198,0.733,6.0,2.111,1.0,2.088,0.409,1.0,4.075,1.0,6.981,0.617,2.0,34.639,0.0,123.169,0.81,0.301,19.417,10.281,24.805,0.646,30.19,21.594,2.104,38.34,0.737,29.772,14.818,5.0,31.591,0.713,6.0
ibotpeaches,209,11,6,3,0.5,1.228,0.01,4.131,0.909,0.098,34.833,1.5,63.297,0.736,33.25,3.833,1.5,4.021,0.471,6.25,11.0,4.0,14.926,0.615,10.0,7.094,0.067,13.684,0.721,7.493,6.697,4.509,8.215,0.602,11.458,1.241,0.006,4.193,0.911,0.095,19.0,14.0,13.9,0.389,21.5
staxbot,26,4,3,1,0.333,12.096,0.001,37.404,0.904,0.004,8.667,10.0,7.095,0.359,7.0,2.667,3.0,1.528,0.25,1.5,6.5,5.0,6.191,0.442,6.5,18.255,0.013,36.492,0.666,18.266,76.459,61.733,84.765,0.487,83.8,12.599,0.001,38.122,0.9,0.002,6.5,8.0,3.0,0.173,1.5
cboettig,268,16,48,34,0.708,6.505,0.564,12.599,0.776,5.455,5.583,2.0,7.431,0.592,6.25,2.271,1.0,1.921,0.397,2.0,1.823,1.0,1.789,0.361,1.0,1.007,0.0,4.641,0.819,0.044,10.882,3.592,15.1,0.657,16.719,7.818,0.785,13.599,0.74,12.05,16.75,8.5,24.526,0.617,13.75
forty-bot,22,4,7,5,0.714,101.619,5.632,223.336,0.812,75.438,3.143,1.0,3.761,0.506,2.5,1.286,1.0,0.488,0.159,0.5,2.75,1.5,3.412,0.477,1.25,162.37,0.003,456.997,0.748,1.702,119.292,11.474,164.965,0.633,213.506,110.111,11.474,156.989,0.667,224.466,5.5,5.5,3.873,0.341,4.5
bud-ci-bot,40,1,1,1,1.0,54.161,22.132,72.119,0.646,93.134,40.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,2112.268,2112.268,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,40.0,40.0,0.0,0.0,0.0
bgentry,228,11,3,2,0.667,5.695,0.067,18.579,0.893,0.532,76.0,6.0,125.599,0.643,110.0,5.0,3.0,5.292,0.444,5.0,45.6,59.0,40.562,0.435,62.0,193.203,98.454,223.962,0.437,407.341,81.679,73.42,73.902,0.421,54.587,7.215,0.065,21.001,0.865,1.106,20.727,8.0,27.601,0.599,23.5
dsseng,225,16,37,27,0.73,9.189,0.528,19.59,0.813,7.913,6.081,1.0,15.339,0.732,2.0,1.865,1.0,1.828,0.382,1.0,1.731,1.0,1.456,0.327,1.0,2.999,0.0,11.298,0.805,0.076,12.934,1.119,23.234,0.768,17.352,10.499,0.514,21.737,0.81,8.928,14.062,5.0,16.454,0.577,19.5
wet-boew-bot,276,2,7,1,0.143,4.93,0.001,22.888,0.948,0.001,39.429,44.0,29.731,0.369,35.5,1.714,2.0,0.488,0.119,0.5,1.321,1.0,0.526,0.178,1.0,0.0,0.0,0.0,0.187,0.0,6.518,0.001,26.135,0.936,0.03,1.236,0.0,6.977,0.94,0.001,138.0,138.0,161.22,0.413,114.0
vorpal-buildbot,228,3,4,1,0.25,1.3,1.0,2.636,0.465,0.517,57.0,40.5,63.995,0.518,64.0,1.25,1.0,0.5,0.15,0.25,4.071,2.0,4.782,0.536,5.0,3.595,0.044,6.802,0.621,3.634,1.704,0.923,5.141,0.667,0.891,1.693,0.912,5.194,0.682,0.998,76.0,55.0,63.174,0.354,60.5
hashicorp-cla,300,1,80,4,0.05,5.082,1.304,19.328,0.778,3.767,3.75,1.0,9.55,0.651,1.0,1.0,1.0,0.0,0.0,0.0,1.327,1.0,0.816,0.212,0.0,0.105,0.0,0.471,0.767,0.0,6.647,2.159,22.065,0.725,4.335,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
petemoore,276,13,7,5,0.714,7.156,0.211,43.395,0.933,0.838,39.429,12.0,57.119,0.648,48.5,3.857,2.0,4.18,0.497,4.0,5.208,2.0,9.572,0.609,5.0,21.749,0.148,101.067,0.902,1.521,15.678,0.941,37.454,0.82,14.134,11.272,0.148,59.856,0.93,1.673,21.231,11.0,40.129,0.619,4.0
google-oss-prow[bot],150,3,20,4,0.2,0.154,0.027,0.422,0.759,0.144,7.5,5.5,7.944,0.499,7.0,1.5,1.0,0.607,0.197,1.0,1.875,2.0,1.325,0.303,1.0,0.068,0.001,0.218,0.762,0.022,0.222,0.069,0.535,0.706,0.225,0.094,0.029,0.117,0.611,0.133,50.0,25.0,65.2,0.547,61.5
jefferai,213,12,8,2,0.25,9.843,0.065,38.639,0.914,1.664,26.625,9.5,52.142,0.69,9.5,5.0,5.0,3.251,0.331,3.0,8.52,3.0,13.298,0.623,8.0,49.397,1.796,193.092,0.886,16.3,35.494,1.741,86.922,0.841,18.494,12.684,0.054,45.769,0.908,1.911,17.75,13.5,22.288,0.536,16.25
hjabbot,260,15,10,5,0.5,8.064,0.135,27.876,0.906,1.018,26.0,1.5,52.46,0.772,12.75,3.7,1.5,4.244,0.516,2.75,4.262,2.0,6.395,0.56,3.0,17.139,0.063,48.135,0.826,2.948,17.384,0.559,43.34,0.848,7.417,12.264,0.223,35.484,0.882,2.646,17.333,11.0,24.204,0.544,12.5
zhangqibot,11,1,1,1,1.0,120.371,81.495,134.031,0.563,165.961,11.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,1203.711,1203.711,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,11.0,11.0,0.0,0.0,0.0
betahuhnbot,34,4,4,1,0.25,14.533,0.139,35.939,0.821,23.156,8.5,4.0,9.0,0.397,4.5,2.75,2.5,0.957,0.159,1.25,2.267,1.0,2.89,0.471,0.5,20.84,0.0,56.622,0.557,0.008,11.929,0.228,20.295,0.72,22.999,25.704,0.141,52.785,0.795,23.534,8.5,7.0,6.807,0.368,9.5
arj03,58,2,7,6,0.857,35.811,8.715,55.917,0.703,42.349,8.286,1.0,19.276,0.754,0.0,1.0,1.0,0.0,0.0,0.0,5.273,1.0,6.373,0.564,8.5,132.406,0.0,238.492,0.367,138.354,58.478,28.362,75.676,0.538,21.434,59.297,27.599,80.219,0.559,12.261,29.0,29.0,32.527,0.397,23.0
anysoftkeyboard-bot,271,5,1,1,1.0,7.919,0.515,13.23,0.706,13.332,271.0,271.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,271.0,271.0,0.0,0.0,0.0,2138.044,2138.044,0.0,0.0,0.0,,,0.0,0.0,,4.708,0.044,10.401,0.792,3.515,54.2,37.0,54.541,0.421,15.0
softwarefactory-project-zuul[bot],281,4,50,9,0.18,0.344,0.139,0.606,0.668,0.302,5.62,2.0,9.994,0.654,2.75,1.2,1.0,0.67,0.154,0.0,1.289,1.0,0.675,0.192,0.0,0.104,0.0,0.452,0.694,0.0,0.339,0.153,0.592,0.649,0.304,0.113,0.0,0.286,0.795,0.087,70.25,11.0,123.958,0.684,70.75
visualfc,270,12,22,4,0.182,4.903,0.134,11.301,0.828,2.131,12.273,7.5,15.326,0.584,14.5,2.045,2.0,1.09,0.272,1.75,1.957,1.0,1.607,0.358,1.0,2.32,0.0,8.225,0.822,0.081,7.29,0.532,13.393,0.764,9.866,6.354,0.131,13.214,0.799,5.984,22.5,5.0,38.387,0.696,24.5
gamesrevivalbot,96,3,1,1,1.0,11.328,0.0,76.836,0.969,0.0,96.0,96.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,1076.118,1076.118,0.0,0.0,0.0,,,0.0,0.0,,33.876,0.0,138.609,0.935,0.002,32.0,11.0,38.118,0.465,33.5
bors-homu,12,3,11,3,0.273,65.166,0.251,147.703,0.833,15.167,1.091,1.0,0.302,0.076,0.0,1.0,1.0,0.0,0.0,0.0,1.091,1.0,0.302,0.076,0.0,0.001,0.0,0.003,0.0,0.0,71.681,0.419,154.017,0.816,16.33,159.06,12.748,264.316,0.648,231.964,4.0,5.0,1.732,0.167,1.5
himself65,244,13,36,24,0.667,1.718,0.04,18.931,0.958,0.17,6.778,1.0,17.299,0.753,1.25,1.806,1.0,1.582,0.346,1.0,1.952,1.0,1.913,0.367,1.0,0.083,0.0,0.266,0.753,0.009,3.283,0.07,26.458,0.948,0.512,2.35,0.038,22.748,0.962,0.238,18.769,14.0,23.36,0.477,10.0
pyup-vuln-bot,6,1,1,1,1.0,292.8,0.001,401.023,0.603,720.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1464.002,1464.002,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,6.0,6.0,0.0,0.0,0.0
xappbot,234,2,1,1,1.0,9.074,0.003,15.307,0.664,11.616,234.0,234.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,234.0,234.0,0.0,0.0,0.0,2114.353,2114.353,0.0,0.0,0.0,,,0.0,0.0,,6.016,0.0,12.059,0.727,7.204,117.0,117.0,0.0,0.0,0.0
jackettbot[bot],83,4,1,1,1.0,24.392,5.701,49.358,0.766,25.442,83.0,83.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,83.0,83.0,0.0,0.0,0.0,2000.178,2000.178,0.0,0.0,0.0,,,0.0,0.0,,15.118,3.919,29.072,0.748,19.495,20.75,20.0,17.595,0.401,25.75
galaxy-au-tools-jenkins-bot,135,3,2,1,0.5,15.382,0.001,41.552,0.885,1.477,67.5,67.5,54.447,0.285,38.5,3.0,3.0,0.0,0.0,0.0,5.192,3.0,5.947,0.45,4.25,31.391,0.001,58.072,0.788,29.055,49.803,0.004,72.36,0.693,104.767,14.595,0.001,42.469,0.9,0.003,45.0,42.0,5.196,0.044,4.5
nrel-bot-2b,300,3,5,5,1.0,1.076,0.0,5.798,0.889,0.679,60.0,3.0,98.087,0.693,66.0,1.2,1.0,0.447,0.133,0.0,2.439,1.0,9.392,0.501,1.0,2.006,0.0,8.939,0.868,0.048,0.615,0.002,1.234,0.638,1.154,0.615,0.002,1.234,0.638,1.154,100.0,60.0,113.42,0.48,108.0
edison1105,219,14,33,28,0.848,6.13,0.276,14.595,0.817,3.768,6.636,1.0,20.568,0.783,1.0,1.424,1.0,1.437,0.268,0.0,1.973,1.0,1.988,0.362,1.0,3.961,0.0,13.169,0.795,0.142,8.151,0.816,16.481,0.776,11.438,5.643,0.431,11.74,0.786,4.781,15.643,11.5,17.35,0.538,17.25
cypress-bot[bot],300,3,1,1,1.0,1.186,0.116,5.925,0.904,0.254,300.0,300.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,354.466,354.466,0.0,0.0,0.0,,,0.0,0.0,,5.841,0.788,8.477,0.648,11.709,100.0,17.0,150.742,0.589,132.5
admad,235,14,23,13,0.565,4.853,0.099,14.934,0.865,1.876,10.217,2.0,24.051,0.749,5.0,2.957,2.0,2.671,0.442,3.0,3.79,2.0,4.701,0.538,3.0,4.888,0.006,16.363,0.845,0.669,13.648,3.152,26.328,0.752,16.036,6.221,0.159,17.784,0.846,3.878,16.786,8.0,21.68,0.602,16.25
